74	37	312360.17
67	0	0.00
57	45	432843.75
52	46	421789.33
55	11	6100.42
68	26	99597.33
75	33	224606.25
18	7	514.50
51	20	34000.00
59	25	76822.92
48	12	6912.00
66	49	647069.50
19	64	415061.33
77	63	1604468.25
58	73	1880248.83
29	8	1237.33
17	34	55680.67
10	42	61740.00
69	1	5.75
44	72	1368576.00
38	2	25.33
43	50	447916.67
30	23	30417.50
76	31	188676.33
40	16	13653.33
6	60	108000.00
9	5	93.75
36	14	8232.00
32	47	276861.33
4	41	22973.67
53	15	14906.25
70	28	128053.33
24	22	21296.00
71	56	1039061.33
61	54	800442.00
39	21	30098.25
62	35	221520.83
3	13	549.25
27	65	617906.25

momento de inercia para um retângulo, dados funcionando
